0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,30.0,0.0,0.0,40.0,20.0,10.0,25.0,30.0,20.0,20.0,30.0,25.0,20.0,0.0,40.0,80.0,20.0,20.0,60.0,75.0,75.0,30.0,50.0
0.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,10.0,25.0,20.0,0.0,20.0,70.0,30.0,15.0,20.0,15.0,63.0,20.0,60.0,20.0,10.0,0.0
0.0,0.0,0.0,0.0,30.0,10.0,10.0,18.0,40.0,25.0,20.0,10.0,15.0,10.0,30.0,20.0,40.0,30.0,82.0,35.0,70.0,25.0,20.0,30.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,25.0,14.0,20.0,0.0,0.0,10.0,5.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,10.0,20.0,35.0,0.0,60.0,10.0,20.0,20.0,30.0,62.0,20.0,20.0,20.0,35.0,60.0,20.0,20.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,15.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,11.0,10.0,20.0,10.0,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,70.0,0.0,0.0,10.0,30.0,50.0,50.0,40.0,70.0,30.0,70.0,20.0,70.0,40.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,0.0,0.0,20.0,25.0,65.0,28.0,60.0,30.0,40.0,40.0,70.0,75.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,10.0,25.0,10.0,40.0,20.0,60.0,10.0,12.0,15.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,10.0,40.0,10.0,30.0,80.0,73.0,30.0,40.0,40.0,10.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,10.0,20.0,0.0,20.0,65.0,14.0,65.0,50.0,30.0,20.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,25.0,30.0,70.0,17.0,20.0,70.0,30.0,70.0,20.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,5.0,14.0,75.0,20.0,10.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,25.0,10.0,40.0,0.0,10.0,10.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,60.0,30.0,20.0,10.0,65.0,34.0,10.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,75.0,60.0,70.0,40.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,70.0,60.0,60.0,10.0,70.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,30.0,70.0,10.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,10.0,10.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,75.0,10.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,20.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
