0.00,30.00,10.00,20.00,50.00,10.00,10.00,0.00,10.00,20.00,20.00,20.00,5.00,10.00,10.00,10.00
35.00,0.00,100.00,10.00,12.00,30.00,20.00,20.00,15.00,25.00,20.00,10.00,10.00,25.00,20.00,40.00
20.00,85.00,0.00,25.00,20.00,30.00,14.00,10.00,15.00,29.00,15.00,10.00,10.00,15.00,25.00,10.00
19.00,20.00,50.00,0.00,30.00,31.00,21.00,23.00,64.00,29.00,30.00,25.00,62.00,70.00,20.00,60.00
53.00,30.00,20.00,30.00,0.00,20.00,10.00,20.00,20.00,60.00,70.00,50.00,0.00,10.00,10.00,20.00
10.00,5.00,20.00,2.00,10.00,0.00,100.00,100.00,0.00,20.00,20.00,0.00,0.00,0.00,10.00,12.00
15.00,20.00,10.00,10.00,5.00,100.00,0.00,100.00,10.00,30.00,10.00,10.00,10.00,0.00,5.00,30.00
10.00,20.00,10.00,15.00,10.00,100.00,100.00,0.00,0.00,15.00,0.00,10.00,10.00,10.00,10.00,10.00
10.00,28.00,10.00,23.00,20.00,60.00,60.00,20.00,0.00,40.00,20.00,0.00,15.00,70.00,20.00,50.00
20.00,30.00,0.00,45.00,67.00,20.00,30.00,20.00,18.00,0.00,70.00,70.00,75.00,70.00,70.00,60.00
20.00,20.00,10.00,10.00,50.00,30.00,20.00,20.00,20.00,50.00,0.00,85.00,20.00,0.00,10.00,20.00
20.00,50.00,20.00,10.00,70.00,25.00,30.00,0.00,30.00,65.00,95.00,0.00,10.00,30.00,20.00,0.00
20.00,20.00,20.00,45.00,20.00,40.00,20.00,20.00,60.00,40.00,10.00,14.00,0.00,90.00,80.00,70.00
20.00,30.00,20.00,70.00,25.00,30.00,15.00,20.00,70.00,50.00,25.00,5.00,80.00,0.00,70.00,80.00
20.00,40.00,40.00,40.00,30.00,30.00,20.00,10.00,55.00,45.00,70.00,20.00,80.00,85.00,0.00,80.00
12.00,20.00,20.00,61.00,20.00,20.00,50.00,15.00,65.00,22.00,20.00,0.00,0.00,0.00,0.00,0.00
